Player,Pos,Pos Rank,ESPN,Sleeper,NFL,RTSPORTS,AVG Draft Position,year
Bailey Zappe,QB,QB72,396,,,,396,2023
Mitchell Tinsley,WR,WR150,397,,,,397,2023
Tyrion Davis-Price,RB,RB110,398,,,,398,2023
Spencer Brown,RB,RB111,400,,,,400,2023
DeAndre Carter,WR,WR151,402,,,,402,2023
Tanner McKee,QB,QB73,404,,,,404,2023
C.J. Beathard,QB,QB74,405,,,,405,2023
Jordan Akins,TE,TE92,406,,,,406,2023
Jakob Johnson,RB,RB112,407,,,,407,2023
Travis Homer,RB,RB113,408,,,,408,2023
Byron Pringle,WR,WR152,409,,,,409,2023
Kayshon Boutte,WR,WR153,410,,,,410,2023
Rex Burkhead,RB,RB114,411,,,,411,2023
Easton Stick,QB,QB75,412,,,,412,2023
Caleb Shudak,K4,K47,413,,,,413,2023
Tre Tucker,WR,WR154,415,,,,415,2023
Nick Mullens,QB,QB76,416,,,,416,2023
Cole Turner,TE,TE93,417,,,,417,2023
Jordan Mason,RB,RB115,418,,,,418,2023
Matt Ryan,QB,QB77,419,,,,419,2023
Tyler Scott,WR,WR155,420,,,,420,2023
Kearis Jackson,WR,WR156,421,,,,421,2023
A.T. Perry,WR,WR157,422,,,,422,2023
Reggie Gilliam,RB,RB116,423,,,,423,2023
Samori Toure,WR,WR158,424,,,,424,2023
Skylar Thompson,QB,QB78,425,,,,425,2023
Matthew Wright,K4,K48,426,,,,426,2023
Derius Davis,WR,WR159,427,,,,427,2023
Nathan Peterman,QB,QB79,428,,,,428,2023
Tyler Kroft,TE,TE94,429,,,,429,2023
Mark Ingram,RB,RB117,430,,,,430,2023
James Mitchell,TE,TE95,431,,,,431,2023
David Bell,WR,WR160,432,,,,432,2023
Keith Smith,RB,RB118,433,,,,433,2023
Kylen Granson,TE,TE96,434,,,,434,2023
Maurice Alexander,WR,WR161,435,,,,435,2023
Davis Allen,TE,TE97,436,,,,436,2023
Cody Parkey,K4,K49,437,,,,437,2023
Kenny McIntosh,RB,RB119,438,,,,438,2023
Quintin Morris,TE,TE98,439,,,,439,2023
Snoop Conner,RB,RB120,440,,,,440,2023
Donald Parham,TE,TE99,441,,,,441,2023
Johnny Johnson,WR,WR162,442,,,,442,2023
Miles Boykin,WR,WR163,444,,,,444,2023
Andrew Beck,TE,TE100,445,,,,445,2023
Velus Jones,WR,WR164,446,,,,446,2023
Brandon Powell,WR,WR165,447,,,,447,2023
Ian Thomas,TE,TE101,448,,,,448,2023
Jason Cabinda,LB,LB1,449,,,,449,2023
Demarcus Robinson,WR,WR166,450,,,,450,2023
Malik Willis,QB,QB80,451,,,,451,2023
Jaren Hall,QB,QB81,452,,,,452,2023
Tylan Wallace,WR,WR167,454,,,,454,2023
Carson Wentz,QB,QB82,455,,,,455,2023
Laquon Treadwell,WR,WR168,456,,,,456,2023
Dee Eskridge,WR,WR169,457,,,,457,2023
Anthony Schwartz,WR,WR170,458,,,,458,2023
Nick Foles,QB,QB83,459,,,,459,2023
Xavier Hutchinson,WR,WR171,460,,,,460,2023
Colt McCoy,QB,QB84,461,,,,461,2023
Braylon Sanders,WR,WR172,462,,,,462,2023
Justin Shorter,WR,WR173,463,,,,463,2023
Cedric Tillman,WR,WR174,464,,,,464,2023
Marcedes Lewis,TE,TE102,465,,,,465,2023
Jake Funk,RB,RB121,466,,,,466,2023
Devin Smith,WR,WR175,467,,,,467,2023
Paul Quessenberry,TE,TE103,468,,,,468,2023
Cole Beasley,WR,WR176,469,,,,469,2023
Dareke Young,WR,WR177,471,,,,471,2023
Chris Oladokun,QB,QB85,472,,,,472,2023
Trent Taylor,WR,WR178,473,,,,473,2023
Jonathan Garibay,K5,K50,475,,,,475,2023
Tommy Tremble,TE,TE104,476,,,,476,2023
Mike Glennon,QB,QB86,477,,,,477,2023
Charlie Kolar,TE,TE105,478,,,,478,2023
Trevon Wesco,TE,TE106,479,,,,479,2023
Alex Collins,RB,RB122,480,,,,480,2023
Grant Calcaterra,TE,TE107,481,,,,481,2023
Josh Johnson,QB,QB87,482,,,,482,2023
Mike White,QB,QB88,483,,,,483,2023
Chase Allen,TE,TE108,484,,,,484,2023
Lil'Jordan Humphrey,WR,WR179,485,,,,485,2023
Rashard Higgins,WR,WR180,486,,,,486,2023
James McCourt,K5,K51,487,,,,487,2023
Tre'Quan Smith,WR,WR181,488,,,,488,2023
Jalen Guyton,WR,WR182,489,,,,489,2023
Carson Strong,QB,QB89,491,,,,491,2023
Adam Prentice,RB,RB123,492,,,,492,2023
Jalen Nailor,WR,WR183,493,,,,493,2023
Elijah Cooks,WR,WR184,494,,,,494,2023
Rodney Adams,WR,WR185,495,,,,495,2023
Damien Williams,RB,RB124,496,,,,496,2023
Tyler Badie,RB,RB125,497,,,,497,2023
Chad Henne,QB,QB90,498,,,,498,2023
Johnny Mundt,TE,TE109,499,,,,499,2023
Joe Reed,WR,WR186,500,,,,500,2023
